"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test","Creating store and verifying the creation.","SUCCESS","2023-06-05T21:42:43.177+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","Getting store information by id.","SUCCESS","2023-06-05T21:42:43.266+01:00[Europe/London]","0.0","0.04"
"Stores CRUD test","Updating store information by id.","SUCCESS","2023-06-05T21:42:43.310+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","Deleting the store and verifying the deletion.","SUCCESS","2023-06-05T21:42:43.406+01:00[Europe/London]","0.0","0.07"
