"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","Creating a new product.","SUCCESS","2023-06-05T21:42:36.012+01:00[Europe/London]","0.0","4.67"
"Products CRUD test","Getting single product.","SUCCESS","2023-06-05T21:42:40.704+01:00[Europe/London]","0.0","0.06"
"Products CRUD test","Updating the product.","SUCCESS","2023-06-05T21:42:40.772+01:00[Europe/London]","0.0","0.06"
"Products CRUD test","Deleting the product and verifying the deletion.","SUCCESS","2023-06-05T21:42:40.833+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","Creating store and verifying the creation.","SUCCESS","2023-06-05T21:42:43.177+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","Getting store information by id.","SUCCESS","2023-06-05T21:42:43.266+01:00[Europe/London]","0.0","0.04"
"Stores CRUD test","Updating store information by id.","SUCCESS","2023-06-05T21:42:43.310+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","Deleting the store and verifying the deletion.","SUCCESS","2023-06-05T21:42:43.406+01:00[Europe/London]","0.0","0.07"
